# geoip6.tsv  start 	 end 	 country (/前缀 20 聚合)
260cf000000000000000000000000000	260cffffffffffffffffffffffffffff	United States
260fd000000000000000000000000000	260fdfffffffffffffffffffffffffff	United States
260ff000000000000000000000000000	260fffffffffffffffffffffffffffff	United States
26100000000000000000000000000000	26100fffffffffffffffffffffffffff	Canada
26200000000000000000000000000000	26200fffffffffffffffffffffffffff	United States
26300000000000000000000000000000	26300fffffffffffffffffffffffffff	United States
26310000000000000000000000000000	26310fffffffffffffffffffffffffff	United States
26311000000000000000000000000000	26311fffffffffffffffffffffffffff	Canada
26312000000000000000000000000000	26312fffffffffffffffffffffffffff	United States
26313000000000000000000000000000	26313fffffffffffffffffffffffffff	United States
26320000000000000000000000000000	26320fffffffffffffffffffffffffff	United States
26321000000000000000000000000000	26321fffffffffffffffffffffffffff	United States
2650f000000000000000000000000000	2650ffffffffffffffffffffffffffff	United States
28000000000000000000000000000000	28000fffffffffffffffffffffffffff	Uruguay
28001000000000000000000000000000	28001fffffffffffffffffffffffffff	Venezuela
28002000000000000000000000000000	28002fffffffffffffffffffffffffff	Argentina
28003000000000000000000000000000	28003fffffffffffffffffffffffffff	Uruguay
2800a000000000000000000000000000	2800afffffffffffffffffffffffffff	Venezuela
2800b000000000000000000000000000	2800bfffffffffffffffffffffffffff	Argentina
2800d000000000000000000000000000	2800dfffffffffffffffffffffffffff	Costa Rica
28010000000000000000000000000000	28010fffffffffffffffffffffffffff	Uruguay
28020000000000000000000000000000	28020fffffffffffffffffffffffffff	United States
28028000000000000000000000000000	28028fffffffffffffffffffffffffff	Argentina
28030000000000000000000000000000	28030fffffffffffffffffffffffffff	Argentina
28031000000000000000000000000000	28031fffffffffffffffffffffffffff	El Salvador
28032000000000000000000000000000	28032fffffffffffffffffffffffffff	Argentina
28033000000000000000000000000000	28033fffffffffffffffffffffffffff	Panama
28034000000000000000000000000000	28034fffffffffffffffffffffffffff	Argentina
28035000000000000000000000000000	28035fffffffffffffffffffffffffff	Argentina
28036000000000000000000000000000	28036fffffffffffffffffffffffffff	Costa Rica
28037000000000000000000000000000	28037fffffffffffffffffffffffffff	Guatemala
28038000000000000000000000000000	28038fffffffffffffffffffffffffff	Argentina
28039000000000000000000000000000	28039fffffffffffffffffffffffffff	Argentina
2803a000000000000000000000000000	2803afffffffffffffffffffffffffff	Caribbean Netherlands
2803b000000000000000000000000000	2803bfffffffffffffffffffffffffff	Colombia
2803c000000000000000000000000000	2803cfffffffffffffffffffffffffff	Venezuela
2803d000000000000000000000000000	2803dfffffffffffffffffffffffffff	United States
2803e000000000000000000000000000	2803efffffffffffffffffffffffffff	Colombia
2803f000000000000000000000000000	2803ffffffffffffffffffffffffffff	Argentina
28040000000000000000000000000000	28040fffffffffffffffffffffffffff	Brazil
28041000000000000000000000000000	28041fffffffffffffffffffffffffff	Brazil
28042000000000000000000000000000	28042fffffffffffffffffffffffffff	Brazil
28043000000000000000000000000000	28043fffffffffffffffffffffffffff	Brazil
28044000000000000000000000000000	28044fffffffffffffffffffffffffff	Brazil
28045000000000000000000000000000	28045fffffffffffffffffffffffffff	Brazil
28046000000000000000000000000000	28046fffffffffffffffffffffffffff	Brazil
28047000000000000000000000000000	28047fffffffffffffffffffffffffff	Brazil
28048000000000000000000000000000	28048fffffffffffffffffffffffffff	Brazil
28049000000000000000000000000000	28049fffffffffffffffffffffffffff	Brazil
28060000000000000000000000000000	28060fffffffffffffffffffffffffff	Mexico
28061000000000000000000000000000	28061fffffffffffffffffffffffffff	Mexico
2a000000000000000000000000000000	2a000fffffffffffffffffffffffffff	Germany
2a001000000000000000000000000000	2a001fffffffffffffffffffffffffff	Germany
2a002000000000000000000000000000	2a002fffffffffffffffffffffffffff	United Kingdom
2a004000000000000000000000000000	2a004fffffffffffffffffffffffffff	Iran
2a005000000000000000000000000000	2a005fffffffffffffffffffffffffff	Iceland
2a006000000000000000000000000000	2a006fffffffffffffffffffffffffff	France
2a007000000000000000000000000000	2a007fffffffffffffffffffffffffff	Belgium
2a008000000000000000000000000000	2a008fffffffffffffffffffffffffff	United Kingdom
2a009000000000000000000000000000	2a009fffffffffffffffffffffffffff	Latvia
2a00a000000000000000000000000000	2a00afffffffffffffffffffffffffff	Netherlands
2a00b000000000000000000000000000	2a00bfffffffffffffffffffffffffff	Slovakia
2a00c000000000000000000000000000	2a00cfffffffffffffffffffffffffff	France
2a00d000000000000000000000000000	2a00dfffffffffffffffffffffffffff	United Kingdom
2a00e000000000000000000000000000	2a00efffffffffffffffffffffffffff	Russia
2a00f000000000000000000000000000	2a00ffffffffffffffffffffffffffff	Slovenia
2a010000000000000000000000000000	2a010fffffffffffffffffffffffffff	France
2a011000000000000000000000000000	2a011fffffffffffffffffffffffffff	Poland
2a012000000000000000000000000000	2a012fffffffffffffffffffffffffff	Italy
2a013000000000000000000000000000	2a013fffffffffffffffffffffffffff	Netherlands
2a014000000000000000000000000000	2a014fffffffffffffffffffffffffff	Armenia
2a015000000000000000000000000000	2a015fffffffffffffffffffffffffff	Germany
2a016000000000000000000000000000	2a016fffffffffffffffffffffffffff	United Kingdom
2a017000000000000000000000000000	2a017fffffffffffffffffffffffffff	Italy
2a018000000000000000000000000000	2a018fffffffffffffffffffffffffff	United Kingdom
2a019000000000000000000000000000	2a019fffffffffffffffffffffffffff	France
2a01a000000000000000000000000000	2a01afffffffffffffffffffffffffff	United Kingdom
2a01b000000000000000000000000000	2a01bfffffffffffffffffffffffffff	United Kingdom
2a01c000000000000000000000000000	2a01cfffffffffffffffffffffffffff	France
2a01d000000000000000000000000000	2a01dfffffffffffffffffffffffffff	France
2a01e000000000000000000000000000	2a01efffffffffffffffffffffffffff	Switzerland
2a01f000000000000000000000000000	2a01ffffffffffffffffffffffffffff	Azerbaijan
2a020000000000000000000000000000	2a020fffffffffffffffffffffffffff	Luxembourg
2a021000000000000000000000000000	2a021fffffffffffffffffffffffffff	Germany
2a022000000000000000000000000000	2a022fffffffffffffffffffffffffff	Ukraine
